"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan","days to resurrection",student_id,"original subscription ID","resurrected subscription ID"
"2021-04-27 00:00:00",NULL,"2021-01-28 23:46:06","2021-07-23 19:22:12","2021-04-28 00:00:00",NULL,"2021-04-28 03:00:00","2023-07-23 00:00:00",annually,annually,86,8018,4927,4927
"2021-05-03 00:00:00","2022-07-25 00:00:00","2021-05-01 23:12:15","2021-07-23 23:58:53","2021-06-01 00:00:00","2023-07-23 00:00:00","2021-06-01 00:00:00","2023-07-23 00:00:00",annually,annually,52,150819,4934,4934
NULL,NULL,"2021-01-28 23:44:54","2021-07-24 22:49:10","2021-06-10 00:00:00","2021-09-28 00:00:00","2021-06-01 03:00:00","2021-09-24 00:00:00",annually,monthly,44,3297,4944,4944
NULL,NULL,"2021-06-10 10:56:23","2021-07-26 21:27:06","2021-07-20 00:00:00","2021-08-30 00:00:00","2021-07-10 00:00:00","2021-08-26 00:00:00",monthly,monthly,6,157184,4996,4996
NULL,NULL,"2021-07-18 02:47:39","2021-07-28 13:58:46","2021-07-22 00:00:00","2022-07-28 00:00:00","2021-08-18 00:00:00","2023-10-28 00:00:00",monthly,annually,6,160452,5023,5023
"2021-07-20 00:00:00",NULL,"2021-06-23 19:56:23","2021-07-29 01:59:37","2021-07-23 00:00:00",NULL,"2021-07-23 00:00:00","2023-07-29 00:00:00",monthly,annually,6,8974,5044,5044
"2021-07-03 00:00:00",NULL,"2021-01-28 23:44:54","2021-07-29 02:47:40","2021-07-09 00:00:00",NULL,"2021-07-09 03:00:00","2023-07-29 00:00:00",annually,annually,20,5211,5046,5046
"2021-06-13 00:00:00","2021-08-11 00:00:00","2021-01-28 23:44:53","2021-07-30 04:29:16","2021-07-11 00:00:00","2021-08-30 00:00:00","2021-07-11 00:00:00","2021-08-30 00:00:00",monthly,monthly,19,11402,5062,5062
NULL,NULL,"2021-03-12 05:20:06","2021-07-31 02:50:55","2021-03-16 00:00:00","2021-08-02 00:00:00","2022-03-12 00:00:00","2022-07-31 00:00:00",annually,annually,137,146547,5065,5065
NULL,NULL,"2021-01-28 23:46:06","2021-08-02 17:00:46","2021-04-30 00:00:00","2022-08-11 00:00:00","2021-04-21 03:00:00","2022-08-02 00:00:00",annually,annually,94,2512,5078,5078
NULL,"2022-01-08 00:00:00","2021-06-01 07:29:31","2021-08-08 15:22:23","2021-08-05 00:00:00","2022-02-08 00:00:00","2021-08-01 00:00:00","2022-02-08 00:00:00",monthly,monthly,3,156561,5119,5119
NULL,"2022-08-17 00:00:00","2021-04-06 10:47:19","2021-08-12 15:25:54","2021-08-10 00:00:00","2023-08-12 00:00:00","2021-08-06 00:00:00","2023-08-12 00:00:00",annually,annually,2,148467,5137,5137
"2021-08-03 00:00:00","2021-10-04 00:00:00","2021-07-03 16:23:35","2021-08-16 17:42:39","2021-08-04 00:00:00","2021-10-16 00:00:00","2021-09-03 00:00:00","2021-10-16 00:00:00",monthly,monthly,12,159058,5151,5151
NULL,"2021-08-16 00:00:00","2021-07-05 20:28:08","2021-08-16 20:12:21","2021-08-09 00:00:00","2021-09-16 00:00:00","2021-08-05 00:00:00","2021-09-16 00:00:00",monthly,monthly,7,158315,5152,5152
"2021-01-14 02:00:00",NULL,"2021-01-28 23:46:34","2021-08-19 10:42:28","2021-02-13 00:00:00",NULL,"2021-02-13 02:00:00","2023-08-19 00:00:00",monthly,annually,187,6808,5180,5180
NULL,NULL,"2021-01-28 23:44:54","2021-08-23 14:25:28","2021-06-22 00:00:00","2022-09-01 00:00:00","2021-06-12 03:00:00","2022-08-23 00:00:00",annually,annually,62,17547,5214,5214
"2021-04-09 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-23 14:44:23","2021-04-18 00:00:00",NULL,"2021-04-18 03:00:00","2023-08-23 00:00:00",annually,annually,127,709,5215,5215
"2021-02-20 00:00:00",NULL,"2021-01-28 23:44:10","2021-08-23 14:56:43","2021-03-03 00:00:00",NULL,"2021-03-03 00:00:00","2023-08-23 00:00:00",monthly,annually,173,1362,5216,5216
NULL,NULL,"2021-01-28 23:46:06","2021-08-23 15:28:45","2021-05-01 00:00:00","2022-09-01 00:00:00","2021-04-22 03:00:00","2022-08-23 00:00:00",annually,annually,114,2295,5218,5218
"2021-07-28 00:00:00","2022-03-28 00:00:00","2021-01-28 23:44:53","2021-08-23 15:52:25","2021-08-18 00:00:00","2022-11-23 00:00:00","2021-08-18 03:00:00","2022-11-23 00:00:00",annually,annually,5,3822,5219,5219
"2021-07-03 00:00:00",NULL,"2021-01-28 23:44:54","2021-08-23 16:19:41","2021-07-09 00:00:00","2022-09-01 00:00:00","2021-07-09 03:00:00","2022-08-23 00:00:00",annually,annually,45,19597,5220,5220
"2020-03-02 02:00:00","2021-08-23 00:00:00","2021-01-28 23:46:34","2021-08-23 23:35:33","2021-03-01 00:00:00","2022-11-23 00:00:00","2021-03-02 02:00:00","2023-11-23 00:00:00",annually,annually,175,15328,5223,5223
NULL,NULL,"2021-01-28 23:46:34","2021-08-24 00:28:10","2021-03-18 00:00:00",NULL,"2021-03-09 02:00:00","2023-08-24 00:00:00",annually,annually,159,1661,5224,5224
NULL,NULL,"2021-01-28 23:44:54","2021-08-24 22:54:28","2021-07-19 00:00:00","2022-08-24 00:00:00","2021-07-15 03:00:00","2023-08-24 00:00:00",annually,annually,36,1693,5231,5231
NULL,"2022-02-27 00:00:00","2021-02-14 10:03:40","2021-08-25 11:07:57","2021-03-01 00:00:00","2022-08-25 00:00:00","2022-02-14 00:00:00","2022-08-25 00:00:00",annually,annually,177,143655,5237,5237
NULL,NULL,"2021-01-28 23:46:34","2021-08-25 21:09:50","2021-04-21 00:00:00",NULL,"2021-04-12 03:00:00","2023-08-25 00:00:00",annually,annually,126,86545,5244,5244
"2021-02-10 00:00:00",NULL,"2021-01-28 23:44:10","2021-08-25 23:39:23","2021-02-14 00:00:00","2022-08-26 00:00:00","2021-02-14 02:00:00","2022-08-25 00:00:00",monthly,annually,192,3195,5247,5247
NULL,NULL,"2021-01-28 23:46:06","2021-08-26 11:14:55","2021-04-23 00:00:00",NULL,"2021-04-14 03:00:00","2023-08-26 00:00:00",annually,annually,125,13464,5252,5252
NULL,NULL,"2021-01-28 23:46:06","2021-08-26 13:08:18","2021-04-24 00:00:00",NULL,"2021-04-15 03:00:00","2023-08-26 00:00:00",annually,annually,124,9380,5254,5254
"2021-03-16 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-26 16:38:42","2021-04-16 00:00:00","2022-08-26 00:00:00","2021-04-16 03:00:00","2022-08-26 00:00:00",annually,annually,132,10504,5260,5260
"2021-02-12 00:00:00",NULL,"2021-01-28 23:44:54","2021-08-26 22:45:31","2021-07-05 00:00:00",NULL,"2021-07-05 03:00:00","2023-08-26 00:00:00",annually,annually,52,12330,5262,5262
"2021-04-25 00:00:00",NULL,"2021-01-28 23:44:54","2021-08-26 22:47:03","2021-05-25 00:00:00",NULL,"2021-05-25 03:00:00","2023-08-26 00:00:00",annually,annually,93,6363,5263,5263
"2021-04-03 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-26 23:27:28","2021-04-23 00:00:00",NULL,"2021-04-23 03:00:00","2023-08-26 00:00:00",annually,annually,125,4371,5264,5264
"2021-04-18 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-27 03:19:25","2021-04-21 00:00:00",NULL,"2021-04-21 03:00:00","2023-08-27 00:00:00",annually,annually,128,7568,5266,5266
"2021-02-06 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-27 06:36:57","2021-04-15 00:00:00",NULL,"2021-04-15 03:00:00","2023-08-27 00:00:00",annually,annually,134,14347,5268,5268
"2021-04-22 00:00:00","2021-08-30 00:00:00","2021-01-28 23:46:06","2021-08-27 08:02:21","2021-04-29 00:00:00","2022-08-27 00:00:00","2021-04-29 03:00:00","2022-08-27 00:00:00",annually,annually,120,8791,5270,5270
NULL,NULL,"2021-01-28 23:46:34","2021-08-27 08:15:17","2021-04-13 00:00:00","2022-09-05 00:00:00","2021-04-04 03:00:00","2022-08-27 00:00:00",annually,annually,136,2807,5273,5273
"2021-03-17 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-27 09:27:16","2021-04-17 00:00:00",NULL,"2021-04-17 03:00:00","2023-08-27 00:00:00",annually,annually,132,2243,5274,5274
NULL,NULL,"2021-01-28 23:46:06","2021-08-27 12:04:18","2021-04-28 00:00:00",NULL,"2021-04-24 03:00:00","2023-08-27 00:00:00",annually,annually,121,9112,5277,5277
"2021-08-06 00:00:00","2022-11-22 00:00:00","2021-07-06 02:49:58","2021-08-27 12:19:40","2021-08-06 00:00:00","2022-11-27 00:00:00","2021-08-06 00:00:00","2022-11-27 00:00:00",monthly,annually,21,159359,5278,5278
